,Argentina_StockTraded_GDP,Australia_StockTraded_GDP,Austria_StockTraded_GDP,Bahrain_StockTraded_GDP,Bangladesh_StockTraded_GDP,Barbados_StockTraded_GDP,Belarus_StockTraded_GDP,Belgium_StockTraded_GDP,Bermuda_StockTraded_GDP,Botswana_StockTraded_GDP,Brazil_StockTraded_GDP,Bulgaria_StockTraded_GDP,Canada_StockTraded_GDP,Cayman_Islands_StockTraded_GDP,Channel_Islands_StockTraded_GDP,Chile_StockTraded_GDP,China_StockTraded_GDP,Colombia_StockTraded_GDP,Costa_Rica_StockTraded_GDP,Croatia_StockTraded_GDP,Cyprus_StockTraded_GDP,Czech_Republic_StockTraded_GDP,Denmark_StockTraded_GDP,Ecuador_StockTraded_GDP,Egypt_StockTraded_GDP,Estonia_StockTraded_GDP,Finland_StockTraded_GDP,France_StockTraded_GDP,Germany_StockTraded_GDP,Ghana_StockTraded_GDP,Greece_StockTraded_GDP,Hong_Kong_StockTraded_GDP,Hungary_StockTraded_GDP,Iceland_StockTraded_GDP,India_StockTraded_GDP,Indonesia_StockTraded_GDP,Iran_StockTraded_GDP,Ireland_StockTraded_GDP,Israel_StockTraded_GDP,Italy_StockTraded_GDP,Jamaica_StockTraded_GDP,Japan_StockTraded_GDP,Jordan_StockTraded_GDP,Kazakhstan_StockTraded_GDP,Kenya_StockTraded_GDP,Korea_StockTraded_GDP,Kuwait_StockTraded_GDP,Latvia_StockTraded_GDP,Lebanon_StockTraded_GDP,Lithuania_StockTraded_GDP,Luxembourg_StockTraded_GDP,Malaysia_StockTraded_GDP,Malta_StockTraded_GDP,Mauritius_StockTraded_GDP,Mexico_StockTraded_GDP,Montenegro_StockTraded_GDP,Morocco_StockTraded_GDP,Namibia_StockTraded_GDP,Netherlands_StockTraded_GDP,New_Zealand_StockTraded_GDP,Nigeria_StockTraded_GDP,Norway_StockTraded_GDP,Oman_StockTraded_GDP,Pakistan_StockTraded_GDP,Panama_StockTraded_GDP,Papua_New_Guinea_StockTraded_GDP,Paraguay_StockTraded_GDP,Peru_StockTraded_GDP,Philippines_StockTraded_GDP,Poland_StockTraded_GDP,Portugal_StockTraded_GDP,Qatar_StockTraded_GDP,Romania_StockTraded_GDP,Russia_StockTraded_GDP,Rwanda_StockTraded_GDP,Saudi_Arabia_StockTraded_GDP,Serbia_StockTraded_GDP,Seychelles_StockTraded_GDP,Singapore_StockTraded_GDP,Slovakia_StockTraded_GDP,Slovenia_StockTraded_GDP,South_Africa_StockTraded_GDP,Spain_StockTraded_GDP,Sri_Lanka_StockTraded_GDP,Swaziland_StockTraded_GDP,Sweden_StockTraded_GDP,Switzerland_StockTraded_GDP,Tanzania_StockTraded_GDP,Thailand_StockTraded_GDP,Trinidad_and_Tobago_StockTraded_GDP,Tunisia_StockTraded_GDP,Turkey_StockTraded_GDP,Ukraine_StockTraded_GDP,United_Arab_Emirates_StockTraded_GDP,United_Kingdom_StockTraded_GDP,US_StockTraded_GDP,Uruguay_StockTraded_GDP,Venezuela_StockTraded_GDP,Vietnam_StockTraded_GDP,West_Bank_and_Gaza_StockTraded_GDP,Zambia_StockTraded_GDP,Zimbabwe_StockTraded_GDP
1985-12-31,0.538179,8.449277,1.159994,,,,,2.563399,,,7.862169,,10.647941,,,0.802964,,0.123229,,,,,2.410667,,,,1.027684,3.18623,11.643939,,0.150565,2.692308,,,,,0.575683,,2.48705,3.0257,,31.891609,,,,4.015137,,,,,0.923051,7.689225,,,1.558381,,,,14.026786,3.799343,,3.252402,,,,,,,0.866668,,,,,,,,,,7.546303,,,3.769103,2.065189,,,9.476849,193.363969,,3.400966,,,,,,15.605544,33.85089,,,,,,
1986-12-31,0.225951,12.418271,1.211983,,,,,4.000424,,,11.271625,,15.088029,,,3.932739,,0.148816,,,,,2.342907,,,,2.688256,7.236148,14.45879,,0.192462,37.288988,,,,,0.575683,,5.848889,5.974989,,54.525954,,,,9.536707,,,,,1.799541,4.213584,,,2.978276,,,,16.70709,7.029973,,2.160697,,,,,,,5.072497,,,,,,,,,,14.428023,,,7.067938,6.294645,,,11.261525,82.058687,,5.109431,,,,,,18.788378,47.639635,,,,,,
1987-12-31,0.132321,30.342921,1.11878,,,,,5.388087,,,3.47167,,21.530161,,,5.60041,,0.288673,,,,,1.965087,,,,7.356228,9.651934,32.573235,,1.856668,89.69876,,,,,0.575683,,11.21545,4.009485,,78.049051,,,,17.483323,,,,,1.507649,11.842252,,,7.062295,,,,18.151083,7.267249,,10.236867,,,,,,,12.523984,,,,,,,,,,34.525291,,,10.254448,12.828613,,,10.718897,214.203059,,21.365202,,,,,,57.309787,59.255137,,,,,,
1988-12-31,3.367265,17.345834,1.498037,,,,,5.075814,,,1.981279,,13.502127,,,5.826201,,0.242269,,,,,4.32775,,,,6.511188,6.36882,24.554117,,1.106374,39.229155,,,,,0.575683,,4.410747,3.536497,,81.354382,,,,42.566626,,,,,2.708807,7.09691,,,4.224449,,,,11.500573,2.386401,,4.725219,,,,,,,5.726253,,,,,,,,,,18.217436,,,4.237011,6.98972,,,9.028881,180.278683,,21.268987,,,,,,32.36899,37.527447,,,,,,
1989-12-31,0.516862,14.522324,19.768201,,,,,5.171761,,,1.005495,,15.757828,,,6.242158,,0.255437,,,,,12.463633,,,,6.54243,10.899349,24.78848,,1.830457,50.272161,,,,,0.575683,,7.132441,4.515817,,83.913235,,,,48.386973,,,,,2.037325,17.005138,,,6.118907,,,,18.893756,2.148896,,12.696132,,,,,,,12.546952,,,,,,,,,,46.330678,,,6.847557,9.541035,,,8.286541,198.831271,,17.607707,,,,,,34.254474,41.505589,,,,,,
1990-12-31,0.566505,12.903873,34.781299,,,,,3.54835,,,1.517795,,11.428943,,,4.71752,,0.225733,,,,,8.605292,,,,2.925983,9.709845,30.508004,,8.263788,44.955565,,,,,0.575683,,8.477261,3.56182,,48.355822,,,,26.332051,,,,,1.543573,24.331041,,,7.095636,,,,13.707104,4.232981,,12.379774,,,,,,,6.046533,,,,,,,,,,58.29295,,,6.541794,8.437093,,,5.991213,150.706583,,18.439081,,,,,,27.831569,34.077601,,,,,,
1991-12-31,2.397581,14.010647,4.439782,,,,,3.211728,,,3.435454,,11.972567,,,4.626555,,0.721222,,,,,7.211132,,,,1.183956,9.806803,23.327596,,4.615124,43.306498,,,,,0.403152,,11.811531,1.876018,,28.258567,,,,24.964158,,,,,1.065835,21.741383,,,10.106832,,,,12.971849,6.329978,,10.346775,,,,,,,6.698962,0.097075,,,,,,,,,39.773973,,,5.975214,8.35615,,,7.498943,27.33766,,19.749637,,,5.480461,,,29.20572,34.748252,,,,,,
1992-12-31,6.879397,12.919211,2.448387,,,,,3.309799,,,7.027047,,12.736698,,,4.128074,,1.417943,,,,,9.939948,,,,1.739966,8.400851,20.084452,,2.403842,75.238097,,,,,0.497501,,16.481502,2.088272,,15.230522,,,,32.395854,,,,,0.735951,31.379007,,,12.158741,,,,12.2512,7.258517,,6.970511,,,,,,,10.332273,0.442032,,,,,,,,,36.265915,,,4.928436,6.039932,,,10.020775,25.864319,,64.103822,,,5.245789,,,27.841313,38.808624,,,,,,
1993-12-31,21.0206,21.375424,3.473084,,0.044623,0.213246,,4.697528,,,9.554374,0.02031,23.030453,,,5.289502,8.949647,1.365946,0.115005,0.117233,0.426385,0.577077,13.994953,,,,8.763804,12.217425,25.473227,0.068689,4.694503,109.771064,,0.212267,,5.751908,0.33252,,36.042469,6.177864,5.391469,20.050351,23.649756,,0.210369,53.61789,10.810566,,,,1.326424,21.171375,,1.134459,11.806896,,1.541598,,14.435597,14.39083,0.053243,13.791183,1.32041,,0.702527,,,4.442744,10.627771,2.056471,2.522583,,,,,,,,137.727714,0.016131,0.002768,5.376931,8.650587,3.651337,,19.096386,68.739733,,67.579058,,,8.867906,,,39.306802,50.074838,,2.654343,,,,0.764799
1994-12-31,43.826911,30.8508,4.327235,2.530555,0.318935,0.264951,,5.305489,,0.704348,15.56202,0.022659,26.923628,,,9.224337,12.024881,3.222549,0.206866,0.087632,1.187766,3.16943,16.532633,0.313977,,,12.885881,14.83082,27.251748,1.266896,4.355973,92.588219,,0.30519,,6.663665,0.60202,,27.610746,10.832528,2.960078,21.395316,11.275924,,0.959689,61.867372,7.749769,,,,1.518716,16.035209,,2.314166,10.326314,,2.2826,0.332742,20.000607,13.37772,0.055722,14.299946,2.067928,,0.74947,,,6.887827,19.046646,4.699034,4.994049,,,,,,,,120.616554,0.855193,2.540125,8.700745,13.068566,5.9321,0.147961,38.691057,84.83582,,55.244418,,1.762918,16.583946,,,41.570463,50.070343,0.05322,1.622427,,,0.010939,2.509188
1995-12-31,12.364215,26.672029,5.41488,1.595205,0.395522,0.140281,,5.27599,1.580697,0.801378,10.255974,0.022115,30.266894,,,15.017524,10.502541,1.299516,0.135941,1.352515,2.986972,4.531554,14.177233,0.460445,,,14.326745,13.243153,22.37265,0.291598,4.40831,66.081841,,0.614855,,7.11149,0.575155,19.276011,8.331256,7.396582,1.48521,20.636191,8.784712,,0.661595,32.515571,22.707192,0.000357,,,0.984554,67.785545,,1.307531,8.994115,,6.267441,0.075154,25.56383,13.100829,0.05931,16.106349,1.715914,,0.089411,,0.211871,7.286806,17.327564,1.93863,3.566059,,,,,,,,72.828117,3.188309,1.629116,9.286292,10.735072,0.654658,0.022366,37.192535,90.443485,,34.802798,,3.713741,30.054823,,,37.324674,67.785353,0.002902,0.425704,,,0.005779,1.960831
1996-12-31,11.502307,36.119829,4.381558,2.546782,1.836709,0.260614,,7.835705,1.324484,0.588107,13.655302,0.078813,42.020035,,,1.372326,35.432426,2.631921,0.115683,0.740011,4.579544,9.335246,18.033279,0.27828,,,3.433853,16.882234,5.976664,0.232944,5.778405,104.085769,,1.143268,,14.266942,1.549036,15.561786,7.036344,7.799409,1.84152,24.154329,5.055212,,0.590908,29.09141,56.489868,0.203467,0.490058,,2.46036,25.429032,,2.213326,9.978505,,4.797323,0.945311,37.955565,13.807363,0.169396,21.646634,3.78064,8.781704,0.25246,,0.303829,6.432479,26.952896,3.447358,5.772564,,,,,,,,62.574378,9.24576,2.301276,16.324141,16.124273,0.42381,23.195252,44.688616,122.081966,,3.646085,,1.027714,19.966891,,,41.466341,86.280079,0.002681,1.794772,,,0.073946,2.737355
1997-12-31,13.046087,34.4805,5.701542,6.641819,1.179725,0.927399,,11.264801,3.286931,1.123447,24.614762,0.382905,51.597656,,,8.662791,38.341879,2.239901,0.136746,1.002492,4.215624,9.134013,25.317954,0.220865,,,27.316205,27.145641,44.538738,0.599439,15.231822,255.442013,,2.389799,,10.194587,0.844625,19.314588,11.632429,16.316002,1.573921,23.201757,6.912933,,0.743304,29.982342,108.684358,1.308768,4.061296,,5.088573,42.590033,,2.878583,9.877751,,8.089845,0.555958,59.479187,13.411882,0.248459,28.379546,20.662821,16.918685,0.5437,,0.194777,6.634281,21.624478,4.643502,16.994761,,0.669567,,,,0.178615,,74.045641,8.507206,2.507565,24.896156,32.241327,2.048779,20.814183,56.970254,183.280512,,11.755884,,0.948462,23.008015,,,53.61548,108.020868,0.002681,4.223635,,,0.185904,3.667828
1998-12-31,8.71872,38.915077,8.318307,8.197478,2.018223,1.129892,,22.806359,3.117466,1.382951,20.013914,0.972054,56.262005,,,5.243383,27.420744,3.313149,0.236476,0.386401,6.833116,7.033615,37.954873,0.033593,,12.178185,47.462791,40.348285,65.342018,0.76543,35.827299,121.944086,,6.086729,,13.547861,0.790383,47.78274,11.464452,38.180516,0.633991,25.509695,8.242893,,0.526465,41.835884,35.733369,1.271846,1.90379,,7.684446,36.792088,0.883271,2.235546,5.015625,,11.19821,0.335131,92.30607,20.927676,0.279064,25.818572,12.104551,14.454795,0.963741,,0.165542,4.733893,14.103328,5.062081,40.520466,,0.362768,,,,0.059512,,68.250115,3.376011,3.654125,35.482913,60.791309,1.782846,12.759139,73.745478,226.748281,,19.943216,,0.742424,20.718231,,,63.173465,135.777174,0.001024,1.700991,,,0.037029,1.253677
1999-12-31,4.183855,51.022012,5.458401,5.916077,1.888783,0.34521,,19.579139,6.798152,0.66937,26.490788,0.042531,57.88115,,1.173608,8.629338,27.420744,1.601781,1.461396,0.289397,61.050263,5.99786,31.2345,0.093152,,4.870667,77.691603,48.664911,59.10426,0.257706,134.101116,137.341869,,17.499351,,15.115304,1.559108,45.584878,17.240937,42.707488,0.605937,43.759729,6.73012,,0.376085,153.700947,35.733369,0.587095,0.495657,,4.343469,53.136019,1.281648,1.608516,5.533582,,18.080064,0.578511,93.776002,20.499365,0.190379,30.723914,2.724479,33.068008,0.494824,,0.135339,4.891693,22.628061,6.294745,29.938538,,0.280893,,,,0.127882,,124.476094,1.567405,3.752244,48.059862,161.705653,1.331474,0.009691,78.309491,156.190875,0.000315,29.452398,,0.742424,26.517265,,,84.355965,195.362773,0.000542,0.963747,,2.496254,0.167142,2.933211
2000-12-31,3.217984,51.234935,4.926945,2.708184,1.752921,1.572152,,16.29451,3.9078,0.66937,14.349155,0.031028,84.386383,,0.535118,7.357261,61.497861,1.180475,1.461396,0.854913,95.548226,10.695555,54.808411,0.104336,,5.840066,167.233209,79.377948,92.895516,0.139679,72.852798,217.276443,,24.434777,109.489364,7.818259,4.070171,14.683625,21.027285,86.073485,0.847301,49.936492,5.571584,,0.297512,85.974254,35.733369,3.513608,0.674146,,5.757934,55.988621,4.605369,1.384225,6.023804,,7.336324,0.47218,155.724467,18.955906,0.190379,35.201496,2.464559,31.160337,1.520746,,0.135339,4.23357,8.813528,11.829496,46.865107,,0.151716,,,,0.300285,,99.03885,1.827783,3.169076,46.458365,264.762739,0.818085,0.012082,144.181425,227.099465,0.035897,15.294548,1.70584,0.742424,60.507216,,,110.077769,290.52956,0.000542,1.862967,,3.1097,0.027773,2.933211
2001-12-31,2.479375,63.369782,3.722411,2.13342,0.483597,0.337207,,15.956205,5.787284,0.66937,11.514078,0.495648,60.346634,,0.959424,5.687928,34.152546,0.798365,1.461396,0.502452,30.283041,5.060666,40.04453,0.020755,,4.132656,138.214702,71.578012,66.164667,0.235189,28.118233,140.60521,,15.567988,51.117211,6.007057,1.235274,20.562309,11.103388,51.164469,1.348599,38.904172,10.510467,,0.302633,68.293556,3.340512,2.003446,0.298021,,2.014959,22.668673,1.200236,2.253112,6.668883,,3.955376,0.146177,105.403504,15.795984,0.230023,30.327775,1.567164,12.818694,0.365628,0.018825,0.161256,1.414891,3.818567,5.305333,22.438453,,0.258695,9.198144,,12.105621,0.661795,,79.174294,3.102192,4.672147,26.11116,237.402744,0.828711,0.551062,123.661562,204.685993,0.052566,25.81192,1.882185,0.742424,32.554534,,,114.796157,197.351349,0.000542,0.933195,,1.320778,0.122117,2.933211
2002-12-31,1.195827,73.510437,3.057402,2.241098,0.0,0.337207,,14.771731,2.336669,0.66937,7.723628,0.994328,58.957746,,0.705167,3.788282,22.701254,1.052623,1.461396,0.598594,5.84927,7.169123,18.182346,0.048791,,3.12885,102.438261,69.185597,41.465834,0.162174,13.609613,107.567712,9.820471,42.535222,38.240038,6.331228,1.353605,2.441428,9.072041,44.974588,1.576292,41.421315,13.975461,0.12177,0.284307,92.623692,5.847526,2.038052,0.614341,,1.299333,25.512703,1.231166,1.121575,3.137738,,2.121834,0.04837,111.054228,3.882498,0.230023,18.625811,2.982611,31.745967,0.460126,0.043374,0.130623,1.752214,2.541356,1.623746,16.736448,,0.310428,13.797821,,18.816981,0.658651,,68.13152,2.499457,3.99111,36.941097,63.975661,1.907655,0.012568,69.403747,158.66799,0.052566,30.737246,1.882185,0.742424,28.292009,,,58.663683,156.031593,0.000542,0.095593,,0.899094,0.119222,2.933211
2003-12-31,2.296089,90.15062,4.615319,2.408438,0.0,0.337207,,13.001497,1.211506,0.66937,12.625312,0.549587,56.563406,,0.115517,9.886802,23.041812,0.851392,0.665248,0.699469,2.133038,8.730332,20.088431,0.048791,,6.228867,82.933006,60.107044,40.133913,0.576334,17.202789,169.067135,10.403265,68.321572,46.533408,5.435233,2.57584,3.706584,13.549659,46.273104,1.576292,51.506238,25.663942,1.421983,1.341875,65.063903,11.718118,1.40693,0.61749,1.083512,0.953947,41.480061,0.943282,1.741513,3.015127,,4.44344,0.055618,92.527973,4.376126,0.230023,21.313534,7.128967,73.798833,0.391077,0.066734,0.130623,1.650235,2.80891,3.552327,14.465868,,0.381757,18.525242,,73.70292,2.38049,,96.61033,1.601376,1.703781,24.900501,68.099657,3.814368,0.002275,59.398986,123.916761,0.052566,68.655935,1.882185,0.742424,31.19173,,,60.635336,140.052838,0.000542,0.095593,,1.042087,0.13301,2.933211
2004-12-31,2.764185,88.65427,8.66537,2.369857,0.381056,0.337207,,20.341874,1.426404,0.66937,16.985529,1.751489,68.812786,,0.14637,13.203573,25.778491,1.776033,0.201928,1.111427,1.528242,14.989792,27.061038,0.048791,,7.401679,95.594504,62.742443,41.415413,0.82059,16.976941,238.751308,13.718733,84.882048,53.167297,8.518539,5.995961,3.075045,21.621725,49.657977,1.576292,70.66429,46.883434,2.355437,1.763492,66.293447,81.519417,1.151365,0.889563,2.167245,1.130734,43.440135,1.649044,1.711307,5.397633,,5.942299,0.300793,95.051063,4.899071,1.237899,34.502798,6.946808,106.108738,1.195348,0.1016,0.130623,1.583392,3.403707,6.947947,19.598951,,1.104655,20.082969,,182.78461,1.630694,,96.330226,1.311708,2.258015,32.746715,80.474829,2.701122,0.001444,80.562384,10.857244,0.052566,67.634354,1.882185,0.742424,35.845951,,,66.952644,156.362588,0.000542,0.095593,,3.089874,0.035203,2.933211
2005-12-31,2.645591,88.066099,13.800866,4.397909,0.295872,0.337207,,27.616967,1.404028,0.66937,19.169305,2.616388,79.45639,,0.031153,16.72246,16.930227,6.558163,0.109278,1.681554,2.564908,25.017626,27.061038,0.048791,,7.401679,95.594504,58.000466,44.517573,0.474658,20.288292,231.974553,19.597193,84.882048,57.743596,9.745347,3.199479,3.684308,28.769728,56.556715,1.576292,89.779763,189.177875,1.822099,2.690377,128.325603,114.319116,1.151365,4.196334,2.167245,0.601769,31.103699,2.181681,2.125877,5.938157,,11.460124,0.076155,86.422502,4.756079,1.112178,45.72233,10.291579,96.024867,0.940814,0.35122,0.130623,2.256017,4.983189,8.547673,18.1117,,1.443887,19.356349,,335.972665,2.394416,,91.249067,0.106159,1.324276,38.534393,84.997479,4.424606,0.000944,80.562384,13.543017,0.052566,47.443886,1.882185,0.742424,39.447242,,,68.021231,197.805062,0.000542,0.095593,,18.393585,0.133223,2.933211
2006-12-31,1.456841,114.76798,24.848372,7.463593,0.329393,0.337207,,33.129261,2.555339,0.66937,25.23204,5.434063,93.77517,0.037616,0.008061,18.07822,41.518602,9.652571,0.272193,3.783349,15.675477,18.419892,27.061038,0.048791,45.020508,7.401679,95.594504,86.958485,64.039412,0.247067,32.164218,390.391155,26.804055,84.882048,67.74825,11.060425,1.774827,5.202747,39.750436,61.726372,1.576292,119.490388,129.887918,3.010424,5.282644,127.160114,56.319086,1.151365,9.12953,2.167245,0.560171,42.500738,4.007799,2.231814,8.021528,,12.992624,0.216202,122.12463,4.84755,1.508708,81.529196,6.850592,77.117181,1.358005,0.29755,0.130623,4.661734,7.17461,15.390013,31.633562,34.088978,1.315039,58.857493,,372.259911,4.903469,,125.067553,0.140632,2.690678,57.177801,118.754836,3.460526,0.001823,80.562384,18.401519,0.052566,43.745655,1.882185,0.742424,40.653359,,9.088774,102.025297,221.357123,0.000542,0.095593,,8.638259,0.094381,2.933211
